Genre|Year|Rank|Movie|Release Date|Therical Distributor|MPAA Rating|Gross|Ticket Sold
Adventure|2000|1|How the Grinch Stole Christmas|Nov 17, 2000|Universal|PG|$253,367,455|47,006,948
Adventure|2000|2|Dinosaur|May 19, 2000|Walt Disney|PG|$137,748,063|25,556,226
Adventure|2000|3|Chicken Run|Jun 21, 2000|Dreamworks SKG|G|$106,793,915|19,813,342
Adventure|2000|4|Space Cowboys|Aug 4, 2000|Warner Bros.|PG-13|$90,179,885|16,730,961
Adventure|2000|5|Rugrats in Paris|Nov 17, 2000|Paramount Pictures|G|$71,205,699|13,210,704
Adventure|2000|6|Mission to Mars|Mar 10, 2000|Walt Disney|PG|$60,874,615|11,293,991
Adventure|2000|7|Stuart Little|Dec 17, 1999|Sony Pictures|PG|$60,612,097|11,245,287
Adventure|2000|8|Snow Day|Feb 11, 2000|Paramount Pictures|PG|$60,008,303|11,133,265
Adventure|2000|9|102 Dalmatians|Nov 22, 2000|Walt Disney|G|$58,335,959|10,822,997
Adventure|2000|10|The Emperor's New Groove|Dec 15, 2000|Walt Disney|G|$50,812,284|9,427,139
Adventure|2000|11|The Road to El Dorado|Mar 31, 2000|Dreamworks SKG|PG|$50,802,661|9,425,354
Adventure|2000|12|The Tigger Movie|Feb 11, 2000|Walt Disney|G|$45,542,421|8,449,428
Adventure|2000|13|Galaxy Quest|Dec 24, 1999|Dreamworks SKG|PG|$44,111,808|8,184,008
Adventure|2000|14|Pokemon 2000|Jul 21, 2000|Warner Bros.|G|$43,746,923|8,116,312
Adventure|2000|15|Toy Story 2|Nov 19, 1999|Walt Disney|G|$36,972,140|6,859,395
Adventure|2000|16|The Flintstones in Viva Roc…|Apr 28, 2000|Universal|PG|$35,231,365|6,536,431
Adventure|2000|17|The Adventures of Rocky & B…|Jun 30, 2000|Universal|PG|$26,000,610|4,823,860
Adventure|2000|18|Titan A.E.|Jun 16, 2000|20th Century Fox|PG|$22,751,979|4,221,146
Adventure|2000|19|Thomas and the Magic Railroad|Jul 26, 2000|Destination Films|G|$15,911,332|2,952,009
Adventure|2000|20|Dungeons and Dragons|Dec 8, 2000|New Line|PG-13|$14,250,748|2,643,923
Adventure|2000|21|The Little Vampire|Oct 27, 2000|New Line|PG|$13,555,988|2,515,025
Adventure|2000|22|Digimon: The Movie|Oct 6, 2000|20th Century Fox|PG|$9,628,751|1,786,410
