Genre|Year|Rank|Movie|Release Date|Therical Distributor|MPAA Rating|Gross|Ticket Sold
Romantic-Comedy|2000|1|What Women Want|Dec 15, 2000|Paramount Pictures|PG-13|$115,761,883|21,477,158
Romantic-Comedy|2000|2|Me, Myself & Irene|Jun 23, 2000|20th Century Fox|R|$90,570,999|16,803,524
Romantic-Comedy|2000|3|Keeping the Faith|Apr 14, 2000|Walt Disney|PG-13|$37,036,404|6,871,317
Romantic-Comedy|2000|4|Return to Me|Apr 7, 2000|MGM|PG|$32,662,299|6,059,795
Romantic-Comedy|2000|5|Boys and Girls|Jun 16, 2000|Miramax|PG-13|$21,799,652|4,044,462
Romantic-Comedy|2000|6|Down to You|Jan 21, 2000|Miramax|PG-13|$20,035,310|3,717,126
Romantic-Comedy|2000|7|Loser|Jul 21, 2000|Sony Pictures|R|$15,464,026|2,869,021
Romantic-Comedy|2000|8|Dr. T and the Women|Oct 13, 2000|Artisan|R|$13,065,561|2,424,037
Romantic-Comedy|2000|9|Whatever it Takes|Mar 24, 2000|Sony Pictures|PG-13|$8,735,529|1,620,691
Romantic-Comedy|2000|10|Woman on Top|Sep 22, 2000|Fox Searchlight|R|$5,018,450|931,066
Romantic-Comedy|2000|11|The Tao of Steve|Aug 4, 2000|Sony Pictures Cla…|R|$4,342,203|805,603
Romantic-Comedy|2000|12|Sweet and Lowdown|Dec 3, 1999|Sony Pictures Cla…|PG-13|$3,329,098|617,643
Romantic-Comedy|2000|13|Bossa Nova|Apr 28, 2000|Sony Pictures Cla…|R|$1,816,792|337,067
Romantic-Comedy|2000|14|Girl on the Bridge|Jul 28, 2000|Paramount Vantage|R|$1,713,995|317,995
Romantic-Comedy|2000|15|The Best Man|Oct 22, 1999|Universal|R|$809,260|150,141
Romantic-Comedy|2000|16|Me, Myself & I|Apr 7, 2000|Sony Pictures Cla…|R|$565,193|104,859
Romantic-Comedy|2000|17|Love and Sex|Aug 25, 2000|Lionsgate|Not Rated|$536,287|99,496
Romantic-Comedy|2000|18|The Bachelor|Nov 5, 1999|New Line|PG-13|$464,545|86,186
Romantic-Comedy|2000|19|Love's Labour's Lost|Jun 9, 2000|Miramax|PG|$284,291|52,744
Romantic-Comedy|2000|20|Chal Mere Bhai|May 5, 2000|Eros Entertainment|Not Rated|$199,227|36,962
Romantic-Comedy|2000|21|Fever Pitch|Sep 24, 1999|Phaedra Cinema|R|$110,865|20,568
Romantic-Comedy|2000|22|Runaway Bride|Jul 30, 1999|Paramount Pictures|PG|$95,162|17,655
Romantic-Comedy|2000|23|Mad About Mambo|Aug 4, 2000||PG-13|$61,663|11,440
Romantic-Comedy|2001|1|America's Sweethearts|Jul 20, 2001|Sony Pictures|PG-13|$93,607,673|16,538,458
Romantic-Comedy|2001|2|Bridget Jones's Diary|Apr 13, 2001|Miramax|R|$71,500,556|12,632,607
Romantic-Comedy|2001|3|Shallow Hal|Nov 9, 2001|20th Century Fox|PG-13|$68,817,987|12,158,654
