Genre|Year|Rank|Movie|Release Date|Therical Distributor|MPAA Rating|Gross|Ticket Sold
Thriller-or-Suspense|2000|1|What Lies Beneath|Jul 21, 2000|Dreamworks SKG|PG-13|$155,464,351|28,843,107
Thriller-or-Suspense|2000|2|Unbreakable|Nov 22, 2000|Walt Disney|PG-13|$90,033,796|16,703,858
Thriller-or-Suspense|2000|3|Rules of Engagement|Apr 7, 2000|Paramount Pictures|R|$61,322,858|11,377,153
Thriller-or-Suspense|2000|4|The Cell|Aug 18, 2000|New Line|R|$61,280,963|11,369,380
Thriller-or-Suspense|2000|5|The Skulls|Mar 31, 2000|Universal|PG-13|$35,007,180|6,494,838
Thriller-or-Suspense|2000|6|The Art of War|Aug 25, 2000|Warner Bros.|R|$30,199,105|5,602,802
Thriller-or-Suspense|2000|7|Bless the Child|Aug 11, 2000|Paramount Pictures|R|$29,374,178|5,449,754
Thriller-or-Suspense|2000|8|The Watcher|Sep 8, 2000|Universal|R|$28,946,615|5,370,429
Thriller-or-Suspense|2000|9|The Ninth Gate|Mar 10, 2000|Artisan|R|$18,653,746|3,460,806
Thriller-or-Suspense|2000|10|The Sixth Sense|Aug 6, 1999|Walt Disney|PG-13|$17,119,797|3,176,214
Thriller-or-Suspense|2000|11|Lost Souls|Oct 13, 2000|New Line|R|$16,779,636|3,113,105
Thriller-or-Suspense|2000|12|Eye of the Beholder|Jan 28, 2000|Destination Films|R|$16,500,786|3,061,370
Thriller-or-Suspense|2000|13|The In Crowd|Jul 19, 2000|Warner Bros.|PG-13|$5,217,498|967,995
Thriller-or-Suspense|2000|14|The Bone Collector|Nov 5, 1999|Universal|R|$2,699,820|500,894
Thriller-or-Suspense|2000|15|Blood Simple|Jan 18, 1985|USA Films|R|$1,690,913|313,712
Thriller-or-Suspense|2000|16|Trois|Feb 11, 2000|Rainforest Produc…|NC-17|$1,161,843|215,555
Thriller-or-Suspense|2000|17|Du rififi chez les hommes|Jun 5, 1956||Not Rated|$418,016|77,553
Thriller-or-Suspense|2000|18|Deterrence|Mar 10, 2000||R|$144,583|26,824
Thriller-or-Suspense|2000|19|With a Friend Like Harry|Oct 13, 2000|Miramax|R|$137,515|25,512
Thriller-or-Suspense|2000|20|Lola rennt|Jun 18, 1999|Sony Pictures|R|$70,231|13,029
Thriller-or-Suspense|2000|21|Taboo|Oct 6, 2000||Not Rated|$51,347|9,526
Thriller-or-Suspense|2000|22|The Gift|Dec 19, 2000|Paramount Vantage|R|$43,475|8,065
Thriller-or-Suspense|2000|23|Buddy Boy|Mar 24, 2000|Fine Line|R|$10,281|1,907
Thriller-or-Suspense|2000|24|Circus|Sep 15, 2000|Sony Pictures|R|$8,406|1,559
Thriller-or-Suspense|2000|25|The Quarry|Jan 21, 2000|First Run Features|Not Rated|$3,350|621
Thriller-or-Suspense|2000|26|Brown's Requiem|Feb 25, 2000|Avalanche Releasing|R|$3,077|570
Thriller-or-Suspense|2000|27|Placebo Effect|Jan 21, 2000|Phaedra Cinema|Not Rated|$1,190|220
Thriller-or-Suspense|2001|1|Ocean's Eleven|Dec 7, 2001|Warner Bros.|PG-13|$151,967,372|26,849,359
Thriller-or-Suspense|2001|2|Vanilla Sky|Dec 14, 2001|Paramount Pictures|R|$81,080,174|14,325,119
Thriller-or-Suspense|2001|3|Along Came a Spider|Apr 6, 2001|Paramount Pictures|R|$74,058,698|13,084,575
Thriller-or-Suspense|2001|4|The Score|Jul 13, 2001|Paramount Pictures|R|$71,069,884|12,556,516
Thriller-or-Suspense|2001|5|Don’t Say a Word|Sep 28, 2001|20th Century Fox|R|$54,950,408|9,708,552
Thriller-or-Suspense|2001|6|Domestic Disturbance|Nov 2, 2001|Paramount Pictures|PG-13|$44,791,627|7,913,715
Thriller-or-Suspense|2001|7|From Hell|Oct 19, 2001|20th Century Fox|R|$31,519,795|5,568,868
Thriller-or-Suspense|2001|8|Memento|Mar 16, 2001|Newmarket Films|R|$25,544,867|4,513,227
Thriller-or-Suspense|2001|9|15 Minutes|Mar 9, 2001|New Line|R|$24,375,436|4,306,614
Thriller-or-Suspense|2001|10|Joy Ride|Oct 5, 2001|20th Century Fox|R|$21,973,182|3,882,187
Thriller-or-Suspense|2001|11|The Glass House|Sep 14, 2001|Sony Pictures|PG-13|$17,951,431|3,171,630
Thriller-or-Suspense|2001|12|Original Sin|Aug 3, 2001|MGM|R|$16,521,410|2,918,977
Thriller-or-Suspense|2001|13|The Tailor of Panama|Mar 30, 2001|Sony Pictures|R|$13,491,653|2,383,684
Thriller-or-Suspense|2001|14|The Gift|Dec 19, 2000|Paramount Vantage|R|$11,965,167|2,113,987
Thriller-or-Suspense|2001|15|Antitrust|Jan 12, 2001|MGM|PG-13|$10,965,209|1,937,316
Thriller-or-Suspense|2001|16|The Deep End|Aug 8, 2001|Fox Searchlight|R|$8,823,109|1,558,853
Thriller-or-Suspense|2001|17|Unbreakable|Nov 22, 2000|Walt Disney|PG-13|$4,965,347|877,269
Thriller-or-Suspense|2001|18|With a Friend Like Harry|Oct 13, 2000|Miramax|R|$4,036,980|713,247
Thriller-or-Suspense|2001|19|Impostor|Jan 4, 2002|Miramax|PG-13|$3,022,523|534,014
Thriller-or-Suspense|2001|20|Brigham City|Apr 6, 2001|Excel Entertainment|PG-13|$852,206|150,566
Thriller-or-Suspense|2001|21|Brother|Jul 20, 2001|Sony Pictures Cla…|R|$450,594|79,610
Thriller-or-Suspense|2001|22|Taboo|Oct 6, 2000||Not Rated|$80,480|14,219
Thriller-or-Suspense|2001|23|Une affaire de goût|Feb 2, 2001|Attitude Films|Not Rated|$48,602|8,586
Thriller-or-Suspense|2001|24|The Body|Apr 20, 2001|Avalanche Releasing|PG-13|$33,565|5,930
Thriller-or-Suspense|2001|25|Du rififi chez les hommes|Jun 5, 1956||Not Rated|$15,945|2,817
Thriller-or-Suspense|2001|26|Protection|Jan 26, 2001||Not Rated|$666|117
Thriller-or-Suspense|2002|1|Signs|Aug 2, 2002|Walt Disney|PG-13|$227,750,028|39,199,660
Thriller-or-Suspense|2002|2|The Bourne Identity|Jun 14, 2002|Universal|PG-13|$121,468,960|20,906,877
Thriller-or-Suspense|2002|3|Panic Room|Mar 29, 2002|Sony Pictures|R|$95,308,367|16,404,193
Thriller-or-Suspense|2002|4|Red Dragon|Oct 4, 2002|Universal|R|$92,955,420|15,999,211
Thriller-or-Suspense|2002|5|Insomnia|May 24, 2002|Warner Bros.|R|$67,263,182|11,577,139
Thriller-or-Suspense|2002|6|Changing Lanes|Apr 12, 2002|Paramount Pictures|R|$66,790,248|11,495,739
Thriller-or-Suspense|2002|7|High Crimes|Apr 5, 2002|20th Century Fox|PG-13|$41,543,207|7,150,293
Thriller-or-Suspense|2002|8|Enough|May 24, 2002|Sony Pictures|PG-13|$39,177,215|6,743,066
Thriller-or-Suspense|2002|9|The Mothman Prophecies|Jan 25, 2002|Sony Pictures|PG-13|$35,228,696|6,063,458
Thriller-or-Suspense|2002|10|Murder by Numbers|Apr 19, 2002|Warner Bros.|R|$31,874,869|5,486,208
Thriller-or-Suspense|2002|11|Ocean's Eleven|Dec 7, 2001|Warner Bros.|PG-13|$31,449,778|5,413,042
Thriller-or-Suspense|2002|12|Blood Work|Aug 9, 2002|Warner Bros.|R|$26,199,517|4,509,383
Thriller-or-Suspense|2002|13|Vanilla Sky|Dec 14, 2001|Paramount Pictures|R|$19,534,684|3,362,251
Thriller-or-Suspense|2002|14|Frailty|Apr 12, 2002|Lionsgate|R|$13,110,448|2,256,531
Thriller-or-Suspense|2002|15|Abandon|Oct 18, 2002|Paramount Pictures|PG-13|$10,719,367|1,844,985
Thriller-or-Suspense|2002|16|Trapped|Sep 20, 2002|Sony Pictures|R|$6,916,869|1,190,511
Thriller-or-Suspense|2002|17|Femme Fatale|Nov 6, 2002|Warner Bros.|R|$6,630,252|1,141,179
Thriller-or-Suspense|2002|18|The Truth About Charlie|Oct 25, 2002|Universal|PG-13|$5,303,000|912,736
Thriller-or-Suspense|2002|19|Enigma|Apr 19, 2002|Miramax|R|$4,298,329|739,815
Thriller-or-Suspense|2002|20|Impostor|Jan 4, 2002|Miramax|PG-13|$3,091,714|532,136
Thriller-or-Suspense|2002|21|Pandora's Box|Aug 9, 2002|Kino International|R|$881,950|151,798
Thriller-or-Suspense|2002|22|Heaven|Oct 4, 2002|Miramax|R|$774,317|133,273
Thriller-or-Suspense|2002|23|The Salton Sea|Apr 26, 2002|Warner Bros.|R|$676,698|116,471
Thriller-or-Suspense|2002|24|Domestic Disturbance|Nov 2, 2001|Paramount Pictures|PG-13|$415,485|71,512
Thriller-or-Suspense|2002|25|Narc|Dec 20, 2002|Paramount Pictures|R|$315,168|54,245
Thriller-or-Suspense|2002|26|Road|Sep 27, 2002||Not Rated|$107,676|18,532
Thriller-or-Suspense|2002|27|From Hell|Oct 19, 2001|20th Century Fox|R|$78,513|13,513
Thriller-or-Suspense|2002|28|The Bank|Sep 6, 2002|Cinema Guild|Not Rated|$52,421|9,022
Thriller-or-Suspense|2002|29|Interview with the Assassin|Nov 15, 2002||R|$47,329|8,146
